# 2026-03-06 09:37:33 CST
# Linux 6.17.0-14-generic x86_64
# go1.25.7
# CPU: Intel(R) Xeon(R) E-2186G CPU @ 3.80GHz

goos: linux
goarch: amd64
pkg: github.com/uniyakcom/yakutil
cpu: Intel(R) Xeon(R) E-2186G CPU @ 3.80GHz

BenchmarkPool_Get4K-12              	98687696	        36.35 ns/op	      24 B/op	       1 allocs/op
BenchmarkPool_Get4K-12              	95404701	        37.43 ns/op	      24 B/op	       1 allocs/op
BenchmarkPool_Get128_Parallel-12    	322238554	        10.39 ns/op	      24 B/op	       1 allocs/op
BenchmarkPool_Get128_Parallel-12    	329216202	        10.41 ns/op	      24 B/op	       1 allocs/op
BenchmarkPool_Get128_Parallel-12    	331902470	        10.32 ns/op	      24 B/op	       1 allocs/op
BenchmarkMake_128-12                	1000000000	         3.000 ns/op	       0 B/op	       0 allocs/op
BenchmarkMake_128-12                	1000000000	         3.000 ns/op	       0 B/op	       0 allocs/op
BenchmarkMake_128-12                	1000000000	         3.000 ns/op	       0 B/op	       0 allocs/op
BenchmarkNowNano-12             	1000000000	         3.000 ns/op	       0 B/op	       0 allocs/op
BenchmarkNowNano-12             	1000000000	         3.000 ns/op	       0 B/op	       0 allocs/op
BenchmarkNowNano-12             	1000000000	         3.000 ns/op	       0 B/op	       0 allocs/op
BenchmarkTimeNow-12             	112449777	        31.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkTimeNow-12             	93899326	        32.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkTimeNow-12             	112254738	        32.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkNowNano_Parallel-12    	1000000000	         0.1538 ns/op	       0 B/op	       0 allocs/op
BenchmarkNowNano_Parallel-12    	1000000000	         0.1527 ns/op	       0 B/op	       0 allocs/op
BenchmarkNowNano_Parallel-12    	1000000000	         0.1587 ns/op	       0 B/op	       0 allocs/op
BenchmarkTimeNow_Parallel-12    	832608650	         3.896 ns/op	       0 B/op	       0 allocs/op
BenchmarkTimeNow_Parallel-12    	897817868	         3.872 ns/op	       0 B/op	       0 allocs/op
BenchmarkTimeNow_Parallel-12    	896323268	         3.872 ns/op	       0 B/op	       0 allocs/op
BenchmarkValue_ReadHeavy-12             	1000000000	         1.534 ns/op	       1 B/op	       0 allocs/op
BenchmarkValue_ReadHeavy-12             	1000000000	         1.558 ns/op	       1 B/op	       0 allocs/op
BenchmarkValue_ReadHeavy-12             	1000000000	         1.632 ns/op	       1 B/op	       0 allocs/op
BenchmarkValue_vs_RWMutex/cow.Value-12  	1000000000	         0.1623 ns/op	       0 B/op	       0 allocs/op
BenchmarkValue_vs_RWMutex/cow.Value-12  	1000000000	         0.1673 ns/op	       0 B/op	       0 allocs/op
BenchmarkValue_vs_RWMutex/cow.Value-12  	1000000000	         0.1626 ns/op	       0 B/op	       0 allocs/op
BenchmarkValue_vs_RWMutex/RWMutex-12    	100000000	        30.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkValue_vs_RWMutex/RWMutex-12    	100000000	        30.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkValue_vs_RWMutex/RWMutex-12    	100000000	        30.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkValue_Load-12                  	1000000000	         3.000 ns/op	       0 B/op	       0 allocs/op
BenchmarkValue_Load-12                  	1000000000	         3.000 ns/op	       0 B/op	       0 allocs/op
BenchmarkValue_Load-12                  	1000000000	         3.000 ns/op	       0 B/op	       0 allocs/op
BenchmarkValue_Store-12                 	225798534	        15.95 ns/op	       8 B/op	       1 allocs/op
BenchmarkValue_Store-12                 	223243912	        15.97 ns/op	       8 B/op	       1 allocs/op
BenchmarkValue_Store-12                 	224953609	        15.89 ns/op	       8 B/op	       1 allocs/op
BenchmarkValue_Load_Parallel-12         	1000000000	         0.1406 ns/op	       0 B/op	       0 allocs/op
BenchmarkValue_Load_Parallel-12         	1000000000	         0.1419 ns/op	       0 B/op	       0 allocs/op
BenchmarkValue_Load_Parallel-12         	1000000000	         0.1461 ns/op	       0 B/op	       0 allocs/op
BenchmarkValue_Swap-12                  	222852381	        16.08 ns/op	       8 B/op	       1 allocs/op
BenchmarkValue_Swap-12                  	223021291	        16.08 ns/op	       8 B/op	       1 allocs/op
BenchmarkValue_Swap-12                  	224656864	        16.13 ns/op	       8 B/op	       1 allocs/op
BenchmarkValue_UpdateCAS-12             	187563790	        19.03 ns/op	       8 B/op	       1 allocs/op
BenchmarkValue_UpdateCAS-12             	187765978	        19.25 ns/op	       8 B/op	       1 allocs/op
BenchmarkValue_UpdateCAS-12             	185115734	        19.26 ns/op	       8 B/op	       1 allocs/op
BenchmarkValue_UpdateCAS_Parallel-12    	24179108	       152.7 ns/op	      50 B/op	       6 allocs/op
BenchmarkValue_UpdateCAS_Parallel-12    	24976804	       153.6 ns/op	      51 B/op	       6 allocs/op
BenchmarkValue_UpdateCAS_Parallel-12    	24818617	       153.2 ns/op	      50 B/op	       6 allocs/op
BenchmarkEqual_vs_EqualFold/fold.Equal-12         	553839770	         6.389 ns/op	       0 B/op	       0 allocs/op
BenchmarkEqual_vs_EqualFold/fold.Equal-12         	551655894	         6.384 ns/op	       0 B/op	       0 allocs/op
BenchmarkEqual_vs_EqualFold/fold.Equal-12         	552793820	         6.395 ns/op	       0 B/op	       0 allocs/op
BenchmarkEqual_vs_EqualFold/strings.EqualFold-12  	311980468	        11.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkEqual_vs_EqualFold/strings.EqualFold-12  	315502963	        11.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkEqual_vs_EqualFold/strings.EqualFold-12  	313871115	        11.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkEqualBytes_HTTPHeader-12                 	459148495	         7.770 ns/op	       0 B/op	       0 allocs/op
BenchmarkEqualBytes_HTTPHeader-12                 	458515432	         7.784 ns/op	       0 B/op	       0 allocs/op
BenchmarkEqualBytes_HTTPHeader-12                 	453381399	         7.805 ns/op	       0 B/op	       0 allocs/op
BenchmarkEqual_Short-12                           	552269554	         6.464 ns/op	       0 B/op	       0 allocs/op
BenchmarkEqual_Short-12                           	551345049	         6.437 ns/op	       0 B/op	       0 allocs/op
BenchmarkEqual_Short-12                           	548836678	         6.420 ns/op	       0 B/op	       0 allocs/op
BenchmarkEqual_Long-12                            	233017862	        15.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkEqual_Long-12                            	242461762	        14.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkEqual_Long-12                            	242259700	        14.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkEqualStr-12                              	430908067	         8.139 ns/op	       0 B/op	       0 allocs/op
BenchmarkEqualStr-12                              	440260348	         8.068 ns/op	       0 B/op	       0 allocs/op
BenchmarkEqualStr-12                              	450762130	         8.133 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum64_1K-12                      	 4014478	       890.6 ns/op	1149.73 MB/s	       0 B/op	       0 allocs/op
BenchmarkSum64_1K-12                      	 3996148	       893.2 ns/op	1146.46 MB/s	       0 B/op	       0 allocs/op
BenchmarkSum64_1K-12                      	 4024239	       894.2 ns/op	1145.17 MB/s	       0 B/op	       0 allocs/op
BenchmarkSum64s_vs_StdlibFnv64a/Sum64s-12 	219325660	        16.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum64s_vs_StdlibFnv64a/Sum64s-12 	218642353	        16.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum64s_vs_StdlibFnv64a/Sum64s-12 	219451798	        16.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum64s_vs_StdlibFnv64a/fnv.New64a-12         	71526296	        50.37 ns/op	      40 B/op	       2 allocs/op
BenchmarkSum64s_vs_StdlibFnv64a/fnv.New64a-12         	71098557	        50.60 ns/op	      40 B/op	       2 allocs/op
BenchmarkSum64s_vs_StdlibFnv64a/fnv.New64a-12         	62350315	        50.49 ns/op	      40 B/op	       2 allocs/op
BenchmarkFNV_Sum64/8B-12                              	612385240	         5.754 ns/op	1390.28 MB/s	       0 B/op	       0 allocs/op
BenchmarkFNV_Sum64/8B-12                              	623146314	         5.721 ns/op	1398.34 MB/s	       0 B/op	       0 allocs/op
BenchmarkFNV_Sum64/8B-12                              	611364657	         5.773 ns/op	1385.72 MB/s	       0 B/op	       0 allocs/op
BenchmarkFNV_Sum64/16B-12                             	381550440	         9.288 ns/op	1722.56 MB/s	       0 B/op	       0 allocs/op
BenchmarkFNV_Sum64/16B-12                             	386922907	         9.266 ns/op	1726.73 MB/s	       0 B/op	       0 allocs/op
BenchmarkFNV_Sum64/16B-12                             	383299321	         9.269 ns/op	1726.13 MB/s	       0 B/op	       0 allocs/op
BenchmarkFNV_Sum64/32B-12                             	166847325	        21.49 ns/op	1488.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkFNV_Sum64/32B-12                             	167645560	        21.43 ns/op	1493.00 MB/s	       0 B/op	       0 allocs/op
BenchmarkFNV_Sum64/32B-12                             	167131850	        21.50 ns/op	1488.70 MB/s	       0 B/op	       0 allocs/op
BenchmarkFNV_Sum64/64B-12                             	76110886	        40.82 ns/op	1567.79 MB/s	       0 B/op	       0 allocs/op
BenchmarkFNV_Sum64/64B-12                             	87990841	        40.86 ns/op	1566.17 MB/s	       0 B/op	       0 allocs/op
BenchmarkFNV_Sum64/64B-12                             	76588378	        41.62 ns/op	1537.62 MB/s	       0 B/op	       0 allocs/op
BenchmarkFNV_Sum64/128B-12                            	33501522	       101.7 ns/op	1258.38 MB/s	       0 B/op	       0 allocs/op
BenchmarkFNV_Sum64/128B-12                            	33792274	       101.7 ns/op	1258.44 MB/s	       0 B/op	       0 allocs/op
BenchmarkFNV_Sum64/128B-12                            	33365834	       101.7 ns/op	1259.15 MB/s	       0 B/op	       0 allocs/op
BenchmarkFNV_Sum64/256B-12                            	16321904	       213.7 ns/op	1197.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkFNV_Sum64/256B-12                            	16280112	       214.7 ns/op	1192.55 MB/s	       0 B/op	       0 allocs/op
BenchmarkFNV_Sum64/256B-12                            	16617468	       216.5 ns/op	1182.45 MB/s	       0 B/op	       0 allocs/op
BenchmarkFNV_Sum64/1024B-12                           	 4027248	       888.0 ns/op	1153.12 MB/s	       0 B/op	       0 allocs/op
BenchmarkFNV_Sum64/1024B-12                           	 3953317	       898.4 ns/op	1139.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkFNV_Sum64/1024B-12                           	 3975914	       898.5 ns/op	1139.70 MB/s	       0 B/op	       0 allocs/op
BenchmarkFNV_Sum64/4096B-12                           	  942570	      3587 ns/op	1141.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkFNV_Sum64/4096B-12                           	  934407	      3591 ns/op	1140.50 MB/s	       0 B/op	       0 allocs/op
BenchmarkFNV_Sum64/4096B-12                           	  927968	      3590 ns/op	1140.82 MB/s	       0 B/op	       0 allocs/op
BenchmarkFNV_Sum64s/8B-12                             	598421250	         5.958 ns/op	1342.69 MB/s	       0 B/op	       0 allocs/op
BenchmarkFNV_Sum64s/8B-12                             	600425347	         5.948 ns/op	1345.05 MB/s	       0 B/op	       0 allocs/op
BenchmarkFNV_Sum64s/8B-12                             	597945985	         5.957 ns/op	1342.97 MB/s	       0 B/op	       0 allocs/op
BenchmarkFNV_Sum64s/16B-12                            	372311001	         9.517 ns/op	1681.24 MB/s	       0 B/op	       0 allocs/op
BenchmarkFNV_Sum64s/16B-12                            	376352377	         9.481 ns/op	1687.67 MB/s	       0 B/op	       0 allocs/op
BenchmarkFNV_Sum64s/16B-12                            	373988282	         9.512 ns/op	1682.06 MB/s	       0 B/op	       0 allocs/op
BenchmarkFNV_Sum64s/32B-12                            	192495006	        18.74 ns/op	1707.63 MB/s	       0 B/op	       0 allocs/op
BenchmarkFNV_Sum64s/32B-12                            	192500383	        18.69 ns/op	1711.77 MB/s	       0 B/op	       0 allocs/op
BenchmarkFNV_Sum64s/32B-12                            	192427635	        18.65 ns/op	1715.63 MB/s	       0 B/op	       0 allocs/op
BenchmarkFNV_Sum64s/64B-12                            	76662574	        40.77 ns/op	1569.65 MB/s	       0 B/op	       0 allocs/op
BenchmarkFNV_Sum64s/64B-12                            	78029364	        40.93 ns/op	1563.78 MB/s	       0 B/op	       0 allocs/op
BenchmarkFNV_Sum64s/64B-12                            	78152853	        40.67 ns/op	1573.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkFNV_Sum64s/128B-12                           	33949278	       101.8 ns/op	1257.40 MB/s	       0 B/op	       0 allocs/op
BenchmarkFNV_Sum64s/128B-12                           	33796392	       102.3 ns/op	1251.45 MB/s	       0 B/op	       0 allocs/op
BenchmarkFNV_Sum64s/128B-12                           	34014072	       101.3 ns/op	1263.08 MB/s	       0 B/op	       0 allocs/op
BenchmarkFNV_Sum64s/256B-12                           	16346581	       214.7 ns/op	1192.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkFNV_Sum64s/256B-12                           	16308346	       214.1 ns/op	1195.88 MB/s	       0 B/op	       0 allocs/op
BenchmarkFNV_Sum64s/256B-12                           	16140891	       214.4 ns/op	1193.91 MB/s	       0 B/op	       0 allocs/op
BenchmarkFNV_Sum64s/1024B-12                          	 4018376	       889.6 ns/op	1151.09 MB/s	       0 B/op	       0 allocs/op
BenchmarkFNV_Sum64s/1024B-12                          	 4049659	       888.3 ns/op	1152.80 MB/s	       0 B/op	       0 allocs/op
BenchmarkFNV_Sum64s/1024B-12                          	 4016611	       890.0 ns/op	1150.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkFNV_Sum64s/4096B-12                          	  915243	      3596 ns/op	1139.05 MB/s	       0 B/op	       0 allocs/op
BenchmarkFNV_Sum64s/4096B-12                          	  902432	      3597 ns/op	1138.74 MB/s	       0 B/op	       0 allocs/op
BenchmarkFNV_Sum64s/4096B-12                          	  918758	      3587 ns/op	1141.90 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaphash_Sum64Map/8B-12                       	768561220	         4.565 ns/op	1752.43 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaphash_Sum64Map/8B-12                       	775954196	         4.547 ns/op	1759.45 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaphash_Sum64Map/8B-12                       	766153594	         4.623 ns/op	1730.60 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaphash_Sum64Map/16B-12                      	795974170	         4.419 ns/op	3620.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaphash_Sum64Map/16B-12                      	808447726	         4.426 ns/op	3615.33 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaphash_Sum64Map/16B-12                      	798352764	         4.433 ns/op	3609.68 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaphash_Sum64Map/32B-12                      	758174892	         4.651 ns/op	6880.68 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaphash_Sum64Map/32B-12                      	724889913	         4.688 ns/op	6826.28 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaphash_Sum64Map/32B-12                      	769798760	         4.630 ns/op	6911.24 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaphash_Sum64Map/64B-12                      	580533562	         6.121 ns/op	10456.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaphash_Sum64Map/64B-12                      	580953111	         6.141 ns/op	10421.78 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaphash_Sum64Map/64B-12                      	578761090	         6.127 ns/op	10446.05 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaphash_Sum64Map/128B-12                     	450454573	         8.322 ns/op	15380.69 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaphash_Sum64Map/128B-12                     	399238962	         8.827 ns/op	14501.50 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaphash_Sum64Map/128B-12                     	443099832	         7.959 ns/op	16083.42 MB/s	       0 B/op	       0 allocs/op
